	A	Пр	Г	Т	Н	П	С	Д	Х	А2а	Пр12а	Пр22а	С2а	А3	С3	Х3	Ш3	А4	С4	Х4	А5	С5	Х5	А7	В7	СМ7	А8	В8	СМ8	А9	В9	СМ9
1,3	<>{\H0,5x;\S+0,01^;}	<>{\H0,5x;\S+0,018^+0,012;}	<>{\H0,5x;\S+0,013^+0,006;}	<>{\H0,5x;\S+0,01^+0,004;}	<>{\H0,5x;\S+0,007^+0,001;}	<>{\H0,5x;\S+0,003^-0,003;}	<>{\H0,5x;\S^-0,006;}	<>{\H0,5x;\S-0,003^-0,009;}	<>{\H0,5x;\S-0,008^-0,018;}	<>{\H0,5x;\S+0,014^;}	<>{\H0,5x;\S+0,024^+0,015;}	<>{\H0,5x;\S+0,032^+0,018;}	<>{\H0,5x;\S^-0,009;}	<>{\H0,5x;\S+0,02^;}	<>{\H0,5x;\S^-0,02;}	<>{\H0,5x;\S-0,007^-0,032;}	<>{\H0,5x;\S-0,017^-0,05;}	<>{\H0,5x;\S+0,06^;}	<>{\H0,5x;\S^-0,06;}	<>{\H0,5x;\S-0,03^-0,09;}	<>{\H0,5x;\S+0,12^;}	<>{\H0,5x;\S^-0,12;}	<>{\H0,5x;\S-0,06^-0,18;}	<>{\H0,5x;\S+0,25^;}	<>{\H0,5x;\S^-0,25;}	<>{\H0,5x;\S+0,12^-0,12;}	<>{\H0,5x;\S+0,4^;}	<>{\H0,5x;\S^-0,4;}	<>{\H0,5x;\S+0,2^-0,2;}	<>{\H0,5x;\S+0,6^;}	<>{\H0,5x;\S^-0,6;}	<>{\H0,5x;\S+0,3^-0,3;}
3,6	<>{\H0,5x;\S+0,013^;}	<>{\H0,5x;\S+0,023^+0,015;}	<>{\H0,5x;\S+0,016^+0,008;}	<>{\H0,5x;\S+0,013^+0,005;}	<>{\H0,5x;\S+0,009^+0,001;}	<>{\H0,5x;\S+0,004^-0,004;}	<>{\H0,5x;\S^-0,008;}	<>{\H0,5x;\S-0,004^-0,012;}	<>{\H0,5x;\S-0,01^-0,022;}	<>{\H0,5x;\S+0,018^;}	<>{\H0,5x;\S+0,031^+0,019;}	<>{\H0,5x;\S+0,041^+0,023;}	<>{\H0,5x;\S^-0,012;}	<>{\H0,5x;\S+0,025^;}	<>{\H0,5x;\S^-0,025;}	<>{\H0,5x;\S-0,011^-0,044;}	<>{\H0,5x;\S-0,025^-0,065;}	<>{\H0,5x;\S+0,08^;}	<>{\H0,5x;\S^-0,08;}	<>{\H0,5x;\S-0,04^-0,12;}	<>{\H0,5x;\S+0,16^;}	<>{\H0,5x;\S^-0,16;}	<>{\H0,5x;\S-0,08^-0,24;}	<>{\H0,5x;\S+0,3^;}	<>{\H0,5x;\S^-0,3;}	<>{\H0,5x;\S+0,15^-0,15;}	<>{\H0,5x;\S+0,48^;}	<>{\H0,5x;\S^-0,48;}	<>{\H0,5x;\S+0,3^-0,3;}	<>{\H0,5x;\S+0,75^;}	<>{\H0,5x;\S^-0,75;}	<>{\H0,5x;\S+0,4^-0,4;}
6,10	<>{\H0,5x;\S+0,016^;}	<>{\H0,5x;\S+0,028^+0,018;}	<>{\H0,5x;\S+0,02^+0,01;}	<>{\H0,5x;\S+0,016^+0,006;}	<>{\H0,5x;\S+0,012^+0,002;}	<>{\H0,5x;\S+0,005^-0,005;}	<>{\H0,5x;\S^-0,01;}	<>{\H0,5x;\S-0,005^-0,015;}	<>{\H0,5x;\S-0,013^-0,027;}	<>{\H0,5x;\S+0,022^;}	<>{\H0,5x;\S+0,038^+0,023;}	<>{\H0,5x;\S+0,05^+0,028;}	<>{\H0,5x;\S^-0,015;}	<>{\H0,5x;\S+0,03^;}	<>{\H0,5x;\S^-0,03;}	<>{\H0,5x;\S-0,015^-0,055;}	<>{\H0,5x;\S-0,035^-0,085;}	<>{\H0,5x;\S+0,1^;}	<>{\H0,5x;\S^-0,1;}	<>{\H0,5x;\S-0,05^-0,15;}	<>{\H0,5x;\S+0,2^;}	<>{\H0,5x;\S^-0,2;}	<>{\H0,5x;\S-0,1^-0,3;}	<>{\H0,5x;\S+0,36^;}	<>{\H0,5x;\S^-0,36;}	<>{\H0,5x;\S+0,2^-0,2;}	<>{\H0,5x;\S+0,58^;}	<>{\H0,5x;\S^-0,58;}	<>{\H0,5x;\S+0,4^-0,4;}	<>{\H0,5x;\S+0,9^;}	<>{\H0,5x;\S^-0,9;}	<>{\H0,5x;\S+0,5^-0,5;}
10,18	<>{\H0,5x;\S+0,019^;}	<>{\H0,5x;\S+0,034^+0,022;}	<>{\H0,5x;\S+0,024^+0,012;}	<>{\H0,5x;\S+0,019^+0,007;}	<>{\H0,5x;\S+0,014^+0,002;}	<>{\H0,5x;\S+0,006^-0,006;}	<>{\H0,5x;\S^-0,012;}	<>{\H0,5x;\S-0,006^-0,018;}	<>{\H0,5x;\S-0,016^-0,033;}	<>{\H0,5x;\S+0,027^;}	<>{\H0,5x;\S+0,046^+0,028;}	<>{\H0,5x;\S+0,06^+0,033;}	<>{\H0,5x;\S^-0,018;}	<>{\H0,5x;\S+0,035^;}	<>{\H0,5x;\S^-0,035;}	<>{\H0,5x;\S-0,02^-0,07;}	<>{\H0,5x;\S-0,045^-0,105;}	<>{\H0,5x;\S+0,12^;}	<>{\H0,5x;\S^-0,12;}	<>{\H0,5x;\S-0,06^-0,18;}	<>{\H0,5x;\S+0,24^;}	<>{\H0,5x;\S^-0,24;}	<>{\H0,5x;\S-0,12^-0,36;}	<>{\H0,5x;\S+0,43^;}	<>{\H0,5x;\S^-0,43;}	<>{\H0,5x;\S+0,2^-0,2;}	<>{\H0,5x;\S+0,7^;}	<>{\H0,5x;\S^-0,7;}	<>{\H0,5x;\S+0,4^-0,4;}	<>{\H0,5x;\S+1,1^;}	<>{\H0,5x;\S^-1,1;}	<>{\H0,5x;\S+0,5^-0,5;}
18,24	<>{\H0,5x;\S+0,023^;}	<>{\H0,5x;\S+0,042^+0,028;}	<>{\H0,5x;\S+0,03^+0,015;}	<>{\H0,5x;\S+0,023^+0,008;}	<>{\H0,5x;\S+0,017^+0,002;}	<>{\H0,5x;\S+0,007^-0,007;}	<>{\H0,5x;\S^-0,014;}	<>{\H0,5x;\S-0,008^-0,022;}	<>{\H0,5x;\S-0,02^-0,04;}	<>{\H0,5x;\S+0,033^;}	<>{\H0,5x;\S+0,056^+0,035;}	<>{\H0,5x;\S+0,074^+0,041;}	<>{\H0,5x;\S^-0,021;}	<>{\H0,5x;\S+0,045^;}	<>{\H0,5x;\S^-0,045;}	<>{\H0,5x;\S-0,025^-0,085;}	<>{\H0,5x;\S-0,06^-0,13;}	<>{\H0,5x;\S+0,14^;}	<>{\H0,5x;\S^-0,14;}	<>{\H0,5x;\S-0,07^-0,21;}	<>{\H0,5x;\S+0,28^;}	<>{\H0,5x;\S^-0,28;}	<>{\H0,5x;\S-0,14^-0,42;}	<>{\H0,5x;\S+0,52^;}	<>{\H0,5x;\S^-0,52;}	<>{\H0,5x;\S+0,3^-0,3;}	<>{\H0,5x;\S+0,84^;}	<>{\H0,5x;\S^-0,84;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,3^;}	<>{\H0,5x;\S^-1,3;}	<>{\H0,5x;\S+0,6^-0,6;}
24,30	<>{\H0,5x;\S+0,023^;}	<>{\H0,5x;\S+0,042^+0,028;}	<>{\H0,5x;\S+0,03^+0,015;}	<>{\H0,5x;\S+0,023^+0,008;}	<>{\H0,5x;\S+0,017^+0,002;}	<>{\H0,5x;\S+0,007^-0,007;}	<>{\H0,5x;\S^-0,014;}	<>{\H0,5x;\S-0,008^-0,022;}	<>{\H0,5x;\S-0,02^-0,04;}	<>{\H0,5x;\S+0,033^;}	<>{\H0,5x;\S+0,056^+0,035;}	<>{\H0,5x;\S+0,081^+0,048;}	<>{\H0,5x;\S^-0,021;}	<>{\H0,5x;\S+0,045^;}	<>{\H0,5x;\S^-0,045;}	<>{\H0,5x;\S-0,025^-0,085;}	<>{\H0,5x;\S-0,06^-0,13;}	<>{\H0,5x;\S+0,14^;}	<>{\H0,5x;\S^-0,14;}	<>{\H0,5x;\S-0,07^-0,21;}	<>{\H0,5x;\S+0,28^;}	<>{\H0,5x;\S^-0,28;}	<>{\H0,5x;\S-0,14^-0,42;}	<>{\H0,5x;\S+0,52^;}	<>{\H0,5x;\S^-0,52;}	<>{\H0,5x;\S+0,3^-0,3;}	<>{\H0,5x;\S+0,84^;}	<>{\H0,5x;\S^-0,84;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,3^;}	<>{\H0,5x;\S^-1,3;}	<>{\H0,5x;\S+0,6^-0,6;}
30,40	<>{\H0,5x;\S+0,027^;}	<>{\H0,5x;\S+0,052^+0,035;}	<>{\H0,5x;\S+0,035^+0,018;}	<>{\H0,5x;\S+0,027^+0,009;}	<>{\H0,5x;\S+0,02^+0,003;}	<>{\H0,5x;\S+0,008^-0,008;}	<>{\H0,5x;\S^-0,017;}	<>{\H0,5x;\S-0,01^-0,027;}	<>{\H0,5x;\S-0,025^-0,05;}	<>{\H0,5x;\S+0,039^;}	<>{\H0,5x;\S+0,068^+0,043;}	<>{\H0,5x;\S+0,099^+0,06;}	<>{\H0,5x;\S^-0,025;}	<>{\H0,5x;\S+0,05^;}	<>{\H0,5x;\S^-0,05;}	<>{\H0,5x;\S-0,032^-0,1;}	<>{\H0,5x;\S-0,075^-0,16;}	<>{\H0,5x;\S+0,17^;}	<>{\H0,5x;\S^-0,17;}	<>{\H0,5x;\S-0,08^-0,25;}	<>{\H0,5x;\S+0,34^;}	<>{\H0,5x;\S^-0,34;}	<>{\H0,5x;\S-0,17^-0,5;}	<>{\H0,5x;\S+0,62^;}	<>{\H0,5x;\S^-0,62;}	<>{\H0,5x;\S+0,3^-0,3;}	<>{\H0,5x;\S+1^;}	<>{\H0,5x;\S^-1;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,6^;}	<>{\H0,5x;\S^-1,6;}	<>{\H0,5x;\S+0,8^-0,8;}
40,50	<>{\H0,5x;\S+0,027^;}	<>{\H0,5x;\S+0,052^+0,035;}	<>{\H0,5x;\S+0,035^+0,018;}	<>{\H0,5x;\S+0,027^+0,009;}	<>{\H0,5x;\S+0,02^+0,003;}	<>{\H0,5x;\S+0,008^-0,008;}	<>{\H0,5x;\S^-0,017;}	<>{\H0,5x;\S-0,01^-0,027;}	<>{\H0,5x;\S-0,025^-0,05;}	<>{\H0,5x;\S+0,039^;}	<>{\H0,5x;\S+0,068^+0,043;}	<>{\H0,5x;\S+0,109^+0,07;}	<>{\H0,5x;\S^-0,025;}	<>{\H0,5x;\S+0,05^;}	<>{\H0,5x;\S^-0,05;}	<>{\H0,5x;\S-0,032^-0,1;}	<>{\H0,5x;\S-0,075^-0,16;}	<>{\H0,5x;\S+0,17^;}	<>{\H0,5x;\S^-0,17;}	<>{\H0,5x;\S-0,08^-0,25;}	<>{\H0,5x;\S+0,34^;}	<>{\H0,5x;\S^-0,34;}	<>{\H0,5x;\S-0,17^-0,5;}	<>{\H0,5x;\S+0,62^;}	<>{\H0,5x;\S^-0,62;}	<>{\H0,5x;\S+0,3^-0,3;}	<>{\H0,5x;\S+1^;}	<>{\H0,5x;\S^-1;}	<>{\H0,5x;\S+0,5^-0,5;}	<>{\H0,5x;\S+1,6^;}	<>{\H0,5x;\S^-1,6;}	<>{\H0,5x;\S+0,8^-0,8;}
50,65	<>{\H0,5x;\S+0,03^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,04^+0,02;}	<>{\H0,5x;\S+0,03^+0,01;}	<>{\H0,5x;\S+0,023^+0,003;}	<>{\H0,5x;\S+0,01^-0,01;}	<>{\H0,5x;\S^-0,02;}	<>{\H0,5x;\S-0,012^-0,032;}	<>{\H0,5x;\S-0,03^-0,06;}	<>{\H0,5x;\S+0,046^;}	<>{\H0,5x;\S+0,083^+0,053;}	<>{\H0,5x;\S+0,133^+0,087;}	<>{\H0,5x;\S^-0,03;}	<>{\H0,5x;\S+0,06^;}	<>{\H0,5x;\S^-0,06;}	<>{\H0,5x;\S-0,04^-0,18;}	<>{\H0,5x;\S-0,095^-0,195;}	<>{\H0,5x;\S+0,2^;}	<>{\H0,5x;\S^-0,2;}	<>{\H0,5x;\S-0,1^-0,3;}	<>{\H0,5x;\S+0,4^;}	<>{\H0,5x;\S^-0,4;}	<>{\H0,5x;\S-0,2^-0,7;}	<>{\H0,5x;\S+0,74^;}	<>{\H0,5x;\S^-0,74;}	<>{\H0,5x;\S+0,4^-0,4;}	<>{\H0,5x;\S+1,2^;}	<>{\H0,5x;\S^-1,2;}	<>{\H0,5x;\S+0,6^-0,6;}	<>{\H0,5x;\S+1,9^;}	<>{\H0,5x;\S^-1,9;}	<>{\H0,5x;\S+1^-1;}
65,80	<>{\H0,5x;\S+0,03^;}	<>{\H0,5x;\S+0,065^+0,045;}	<>{\H0,5x;\S+0,04^+0,02;}	<>{\H0,5x;\S+0,03^+0,01;}	<>{\H0,5x;\S+0,023^+0,003;}	<>{\H0,5x;\S+0,01^-0,01;}	<>{\H0,5x;\S^-0,02;}	<>{\H0,5x;\S-0,012^-0,032;}	<>{\H0,5x;\S-0,03^-0,06;}	<>{\H0,5x;\S+0,046^;}	<>{\H0,5x;\S+0,089^+0,059;}	<>{\H0,5x;\S+0,148^+0,102;}	<>{\H0,5x;\S^-0,03;}	<>{\H0,5x;\S+0,06^;}	<>{\H0,5x;\S^-0,06;}	<>{\H0,5x;\S-0,04^-0,18;}	<>{\H0,5x;\S-0,095^-0,195;}	<>{\H0,5x;\S+0,2^;}	<>{\H0,5x;\S^-0,2;}	<>{\H0,5x;\S-0,1^-0,3;}	<>{\H0,5x;\S+0,4^;}	<>{\H0,5x;\S^-0,4;}	<>{\H0,5x;\S-0,2^-0,7;}	<>{\H0,5x;\S+0,74^;}	<>{\H0,5x;\S^-0,74;}	<>{\H0,5x;\S+0,4^-0,4;}	<>{\H0,5x;\S+1,2^;}	<>{\H0,5x;\S^-1,2;}	<>{\H0,5x;\S+0,6^-0,6;}	<>{\H0,5x;\S+1,9^;}	<>{\H0,5x;\S^-1,9;}	<>{\H0,5x;\S+1^-1;}
