;H6;H7;H8;H9;H10;H11;H12;H14;H15;H16;h5;fg6;g6;h6;js6;k6;m6;n6;p6;r6;f7;s7;f8;h8;u8;d9;f9;h9;h10;d11;h11;b12;h12;h14;h15;h16
менее 1;"+6
0";---;"+14
0";---;"+40
0";"+60
0";---;---;---;---;---;"-4
-10";---;---;"+3
-3";"+6
0";---;---;---;---;---;---;"-6
-20";"0
-14";---;---;---;---;"0
-40";---;"0
-60";---;---;---;---;---
от 1 до 3;"+6
0";"+10
0";"+14
0";"+25
0";"+40
0";"+60
0";"+100
0";"+250
0";"+400
0";"+600
0";0;---;"-2
-8";"0
-6";"+3
-3";"+6
0";"+8
+2";"+10
+4";"+12
+6";"+16
+10";"-6
-16";"+24
+14";__;"0
-14";"+32
+18";"-20
-45";"-6
-31";"0
-25";---;"-20
-80";"0
-60";"-140
-240";"0
-100";"0
-250";"0
-400";"0
-600"
св.3 до 6;"+8
0";"+12
0";"+18
0";"+30
0";"+48
0";"+75
0";"+120
0";"+300
0";"+480
0";"+750
0";"0
-4";---;"-4
-12";"0
-8";"+4
-4";"+9
+1";"+12
+4";"+16
+8";"+20
+12";"+23
+15";"-10
-22";"+31
+19";__;"0
-18";"+41
+23";"-30
-60";"-10
-40";"0
-30";---;"-30
-105";"0
-75";"-140
-260";"0
-120";"0
-300";"0
-480";"0
-750"
""" 6 "" 10";"+9
0";"+16
0";"+22
0";"+36
0";"+58
0";"+90
0";"+150
0";"+360
0";"+580
0";"+900
0";"0
-5";---;"-5
-14";"0
-9";"+4,5
-4,5";"+10
+1";"+15
+6";"+19
+10";"+24
+15";"+28
+19";"-13
-28";"+38
+23";__;"0
-22";"+50
+28";"-40
-76";"-13
-49";"0
-36";---;"-40
-130";"0
-90";"-150
-300";"0
-150";"0
-360";"0
-580";"0
-900"
"""10 ""14";"+11
0";"+18
0";"+27
0";"+43
0";"+70
0";"+110
0";"+180
0";"+430
0";"+700
0";"+1100
0";"0
-6";---;"-6
-17";"0
-11";"+5,5
-5,5";"+12
+1";"+18
+7";"+23
+12";"+29
+18";"+34
+23";"-16
-34";"+46
+28";__;"0
-27";"+60
+33";"-50
-93";"-16
-59";"0
-43";---;"-50
-160";"0
-110";"-150
-330";"0
-180";"0
-430";"0
-700";"0
-1100"
""" 14 "" 18";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
""" 18 "" 24";"+13
0";"+21
0";"+33
0";"+52
0";"+84
0";"+130
0";"+210
0";"+520
0";"+840
0";"+1300
0";"0
-8";---;"-7
-20";"0
-13";"+6,5
-6,5";"+15
+2";"+21
+8";"+28
+15";"+35
+22";"+41
+28";"-20
-41";"+56
+35";__;"0
-33";"+74
+41";"-65
-117";"-20
-72";"0
-52";---;"-65
-195";"0
-130";"-160
-370";"0
-210";"0
-520";"0
-840";"0
-1300"
""" 24 "" 30";;;;;;;;;;;;;;;;;;;;;;;;;"+81
+48";;;;;;;;;;;
""" 30 "" 40";"+16
0";"+25
0";"+39
0";"+62
0";"+100
0";"+160
0";"+250
0";"+620
0";"+1000
0";"+1600
0";"0
-9";---;"-9
-25";"0
-16";"+8
-8";"+18
+2";"+25
+9";"+33
+17";"+42
+26";"+50
+34";"-25
-50";"+68
+43";__;"0
-39";"+99
+60";"-80
-142";"-25
-87";"0
-62";---;"-80
-240";"0
-160";"-170
-420";"0
-250";"0
-620";"0
-1000";"0
-1600"
""" 40 "" 50";;;;;;;;;;;;;;;;;;;;;;;;;"+109
+70";;;;;;;"-180
-430";;;;
""" 50 "" 65";"+19
0";"+30
0";"+46
0";"+74
0";"+120
0";"+190
0";"+300
0";"+740
0";"+1200
0";"+1900
0";"0
-11";---;"-10
-29";"0
-19";"-9,5
-9,5";"+21
+2";"+30
+11";"+39
+20";"+51
+32";"+60
+41";"-30
-60";"+83
+53";__;"0
-46";"+133
+87";"-100
-174";"-30
-104";"0
-74";---;"-100
-290";"0
-190";"-190
-490";"0
-300";"0
-740";"0
-1200";"0
-1900"
""" 65 "" 80";;;;;;;;;;;;;;;;;;;;"+62
+43";;"+89
+59";;;"+148
+102";;;;;;;"-200
-500";;;;
""" 80 "" 100";"+22
0";"+35
0";"+54
0";"+87
0";"+140
0";"+220
0";"+350
0";"+870
0";"+1400
0";"+2200
0";-15;---;"-12
-34";"0
-22";"+11
-11";"+25
+3";"+35
+13";"+45
+23";"+59
+37";"+73
+51";"-36
-71";"+106
+71";__;"0
-54";"+178
+124";"-120
-207";"-36
-123";"0
-87";---;"-120
-340";"0
-220";"-220
-570";"0
-350";"0
-870";"0
-1400";"0
-2200"
"""100 ""120";;;;;;;;;;;;;;;;;;;;"+76
+54";;"+114
+79";;;"+198
+144";;;;;;;"-240
-590";;;;
"""120 ""140";"+25
0";"+40
0";"+63
0";"+100
0";"+160
0";"+250
0";"+400
0";"+1000
0";"+1800
0";"+2500
0";"0
-18";---;"-14
-39";"0
-25";"+12,5
-12,5";"+28
+3";"+40
+15";"+52
+27";"+68
+43";"+88
+63";"-43
-83";"+132
+92";__;"0
-63";"+233
+170";"-145
-245";"-43
-143";"0
-100";---;"-145
-395";"0
-250";"-260
-660";"0
-400";"0
-1000";"0
-1600";"0
-2500"
"""140 ""160";;;;;;;;;;;;;;;;;;;;"+90
+65";;"+140
+100";;;"+253
+190";;;;;;;"-280
-680";;;;
"""160 ""180";;;;;;;;;;;;;;;;;;;;"+93
+68";;"+148
+108";;;"+273
+210";;;;;;;"-310
-710";;;;
"""180 ""200";"+29
0";"+46
0";"+72
0";"+115
0";"+185
0";"+290
0";"+460
0";"+1150
0";"+1850
0";"+2900
0";"0
-20";---;"-15
-44";"0
-29";"+14,5
-14,5";"+33
+4";"+46
+17";"+60
+31";"+79
+50";"+106
+77";"-50
-96";"+168
+122";__;"0
-72";"+308
+236";"-170
-285";"-50
-165";"0
-115";---;"-170
-460";"0
-290";"-340
-800";"0
-460";"0
-1150";"0
-1850";"0
-2900"
"""200 ""225";;;;;;;;;;;;;;;;;;;;"+109
+80";;"+176
+130";;;"+330
+258";;;;;;;"-380
-840";;;;
"""225 ""250";;;;;;;;;;;;;;;;;;;;"+113
+84";;"+186
+140";;;"+356
+284";;;;;;;"-420
-880";;;;
"""250 ""280";"+32
0";"+52
0";"+81
0";"+130
0";"+210
0";"+320
0";"+520
0";"+1300
0";"+2100
0";"+3200
0";"0
-23";---;"-17
-49";"0
-32";"+16
-16";"+36
+4";"+52
+20";"+66
+34";"+88
+56";"+126
+94";"-56
-108";"+210
+158";__;"0
-81";"+396
+315";"-190
-320";"-56
-186";"0
-130";---;"-190
-510";"0
-320";"-480
-1000";"0
-520";"0
-1300";"0
-2100";"0
-3200"
"""280 ""315";;;;;;;;;;;;;;;;;;;;"+130
+96";;"+222
+170";;;"+431
+350";;;;;;;"-540
-1060";;;;
"""315 ""355";"+36
0";"+57
0";"+89
0";"+140
0";"+230
0";"+360
0";"+570
0";"+1400
0";"+2300
0";"+3600
0";"0
-25";---;"-18
-54";"0
-36";"+18
-18";"+40
+4";"+57
+21";"+73
+37";"+98
+62";"+144
+108";"-62
-119";"+47
+190";__;"0
-89";"+479
+390";"-210
-350";"-62
-202";"0
-140";---;"-210
-570";"0
-360";"-600
-1170";"0
-570";"0
-1400";"0
-2300";"0
-3600"
"""355 ""400";;;;;;;;;;;;;;;;;;;;"+150
+114";;"+265
+208";;;"+524
+435";;;;;;;"-680
-1250";;;;
"""400 ""450";"+40
0";"+63
0";"+97
0";"+155
0";"+250
0";"+400
0";"+630
0";"+1550
0";"+2500
0";"+4000
0";"0
-27";---;"-20
-60";"0
-40";"+20
-20";"+45
+5";"+63
+23";"+80
+40";"+108
+68";"+166
+126";"-68
-131";"+295
+232";__;"0
-97";"+587
+490";"-230
-385";"-68
-223";"0
-155";---;"-230
-630";"0
-400";"-760
-1390";"0
-630";"0
-1550";"0
-2500";"0
-4000"
"""450 ""500";;;;;;;;;;;;;;;;;;;;"+177
+132";;"+315
+252";;;"+637
+540";;;;;;;"-840
-1470";;;;
